Mordekaiser,Viego,Vladimir,Ezreal,Pyke,Gwen,Hecarim,Yasuo,Draven,Nautilus,5190,100,NA1_4927782829,2125
Shen,LeeSin,Lissandra,Lucian,Janna,Rumble,Skarner,Zed,Caitlyn,Milio,7559,100,NA1_4996604729,1183
Olaf,Jax,AurelionSol,Jinx,Pyke,Zac,Viego,Ziggs,Jhin,Brand,14837,100,NA1_4991648374,2205
Renekton,Graves,Katarina,Ashe,Pyke,Fiora,Ivern,Akali,Lucian,Alistar,6761,100,NA1_4992591923,1994
Aatrox,MasterYi,Malzahar,Draven,Shaco,Yasuo,Karthus,Katarina,Jinx,Velkoz,11299,100,NA1_4976990646,1930
Jax,Viego,Yasuo,Kalista,Alistar,Kennen,Skarner,Taliyah,Senna,Janna,56,100,NA1_4997469674,106
Urgot,Jax,Seraphine,Jinx,Rakan,Pantheon,LeeSin,Hwei,MissFortune,Caitlyn,10388,100,NA1_4971352617,1692
Sion,LeeSin,Viktor,Jhin,Morgana,Darius,Viego,Seraphine,Caitlyn,Blitzcrank,7620,100,NA1_4812225914,1736
Fiora,Nunu,Jayce,Lucian,Brand,Jax,FiddleSticks,Qiyana,Ezreal,Morgana,3964,100,NA1_5000681843,1842
Trundle,FiddleSticks,Karthus,Ashe,Pyke,Nasus,Sion,Syndra,Jinx,Brand,13532,100,NA1_4973807212,1411
Shen,MonkeyKing,Malzahar,Vayne,Rell,DrMundo,Graves,Sylas,Ashe,Brand,-14894,200,NA1_4748898482,1763
Garen,Warwick,Kennen,Jinx,Karma,Yorick,Evelynn,TwistedFate,Ashe,Milio,-7310,200,NA1_4994951194,2015
Malphite,Brand,Ahri,Jhin,Alistar,Mordekaiser,LeeSin,Akali,Smolder,Pantheon,-7911,200,NA1_4921672533,2398
Garen,Shaco,Veigar,Kaisa,Braum,Renekton,Trundle,Ryze,Varus,Morgana,-9479,200,NA1_4990697041,1676
Malphite,Brand,Kassadin,Twitch,Leona,Volibear,Graves,Karma,Aphelios,Yuumi,-8455,200,NA1_4942191544,1998
Quinn,JarvanIV,Hwei,Sivir,Lulu,Malphite,Kayn,Syndra,Jhin,Maokai,-5412,200,NA1_4867946291,2195
Jhin,Khazix,Udyr,Jinx,Galio,Irelia,Shaco,Yone,Swain,Brand,-5032,200,NA1_4970504820,991
Malphite,Zed,Bard,Ashe,Sylas,Riven,Brand,Briar,Ezreal,Sona,-7537,200,NA1_4999196255,2130
Malphite,Amumu,Zed,Varus,Velkoz,Irelia,Graves,Brand,Kaisa,Thresh,-11842,200,NA1_4849569048,1438
DrMundo,Shaco,Syndra,Ashe,Leona,Camille,XinZhao,AurelionSol,Caitlyn,Sona,-6440,200,NA1_5001103285,1699
Tryndamere,MasterYi,Katarina,Tristana,Leona,Brand,MonkeyKing,Jayce,Jhin,Alistar,5731,100,NA1_4885746854,995
Illaoi,Briar,Velkoz,Tristana,Morgana,Viego,Shyvana,Katarina,Caitlyn,Blitzcrank,-9204,200,NA1_4999173366,1853
Senna,Rammus,Naafiri,Smolder,Singed,RekSai,Diana,Malzahar,Jhin,Lux,-12262,200,NA1_4990309044,1698
Gangplank,Viego,Anivia,Caitlyn,Twitch,Lucian,Skarner,Fizz,Jinx,Nami,-2840,200,NA1_4972675769,1574
Chogath,FiddleSticks,Galio,Jhin,Nautilus,Garen,JarvanIV,Veigar,Caitlyn,TahmKench,-8618,200,NA1_4997359973,1980
Trundle,FiddleSticks,Fizz,Varus,Milio,Riven,Rammus,Lux,Caitlyn,Xerath,-9449,200,NA1_4986195501,2065
Urgot,Amumu,Akali,MissFortune,Blitzcrank,Aatrox,MasterYi,Gragas,Smolder,Lux,11277,100,NA1_4929094751,1298
Illaoi,Belveth,Ahri,Caitlyn,Swain,Riven,Lillia,Veigar,MissFortune,Bard,15945,100,NA1_4999502235,1294
TwistedFate,Graves,Naafiri,Jinx,Nautilus,KSante,DrMundo,AurelionSol,MissFortune,Swain,11303,100,NA1_4996414433,2047
Udyr,Graves,Akali,Twitch,Thresh,Aatrox,XinZhao,Orianna,Jhin,Leona,2882,200,NA1_4983813695,2461
Renekton,Gragas,Ahri,Caitlyn,Lux,Fiora,LeeSin,Ekko,Smolder,Nautilus,9060,100,NA1_5000091135,2288
Aatrox,Poppy,Hwei,Caitlyn,Janna,Jayce,Shaco,Ahri,MissFortune,Morgana,-15479,200,NA1_4930334845,1577
