T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Nasus,Khazix,Leblanc,Jhin,Brand,Renekton,Viego,Yasuo,Jinx,Alistar,46.47,49.25,51.36,48.85,53.01,-7894,200
Lissandra,Lillia,Galio,MissFortune,Nautilus,Nasus,Sejuani,Sylas,Ashe,Neeko,50,56.03,56.81,48.11,49.34,13170,100
Mordekaiser,MasterYi,Yone,Kaisa,Renata,Skarner,Vi,Malphite,KogMaw,Lux,49.8,47.84,44.03,43.46,47.92,-9278,200
Sion,Vi,Velkoz,Samira,Neeko,KSante,Morgana,Brand,Draven,Blitzcrank,54.57,43.22,53.33,53.1,53.7,3618,100
Nasus,Vi,Fizz,Sivir,Milio,Zac,Diana,Brand,Jhin,Karma,37.76,51.21,50.55,50.29,50.26,9927,100
Aatrox,Jinx,Leblanc,XinZhao,Blitzcrank,Kayle,Volibear,Yasuo,Varus,Yuumi,50.39,50,51.36,50,55.13,-8855,200
Gwen,Viego,Malzahar,Lucian,Leona,Garen,Zac,Yasuo,MissFortune,Thresh,50.79,49.58,52.29,46.71,51.48,15964,100
Riven,Vi,Lux,Smolder,Karma,Udyr,Lillia,Anivia,Jinx,Lulu,56.76,47.88,50.0,40.07,50.08,387,100
Riven,Nocturne,Naafiri,Ashe,Heimerdinger,Ryze,Amumu,Vex,Caitlyn,Morgana,42.86,47.4,41.46,51.28,50,6954,100
Nasus,Poppy,Malphite,Tristana,Yuumi,Naafiri,MasterYi,Orianna,Sivir,Soraka,50,53.41,50.48,52.56,54.25,-7302,200
Sion,Kindred,Yasuo,Smolder,Shaco,Garen,LeeSin,Shen,Brand,Nami,47.37,51.85,50,28.57,46.67,12494,100
Urgot,Warwick,Vladimir,Smolder,Shaco,Kalista,Evelynn,Zed,KogMaw,Milio,50,56.99,50.31,46.61,42.06,-6025,200
Kled,MasterYi,Nunu,Caitlyn,Nami,Darius,Viego,Vayne,Jhin,Lulu,49.15,48.52,50,48.52,50.79,11321,100
Camille,Skarner,Xerath,Senna,Nami,Aatrox,Shaco,Diana,Draven,Lux,54.2,52.05,46.45,53.25,50.86,8299,100
Yasuo,Zac,Fizz,Jinx,Lissandra,Darius,Sejuani,LeeSin,Kaisa,Braum,50,55.56,50,50,50,11741,100
Yone,Shaco,Orianna,Aphelios,Swain,Mordekaiser,Diana,Lissandra,Tristana,Sylas,53.58,51.19,49.74,48.77,50,-10742,200
DrMundo,Lillia,Leblanc,Zeri,Lux,Vayne,Olaf,Hwei,Ashe,Karma,39.77,50,50.09,45.68,48.05,-1181,200
Yone,Shyvana,Veigar,Tristana,Soraka,Fiora,Diana,Velkoz,Draven,Alistar,39.94,52.08,50,47.07,51.78,7506,100
Yone,Belveth,Taliyah,Jhin,Milio,Yorick,Udyr,Zed,Xayah,Sona,42.58,49.7,47.49,55.76,47.49,-11085,200
Malphite,Trundle,Syndra,MissFortune,Amumu,Jax,Khazix,Yasuo,Kaisa,Brand,50.93,50,54.26,50,50,-111,100
Aatrox,Brand,Yone,Lucian,Yuumi,Garen,Rengar,Lux,Ezreal,Sona,47.6,42.86,45.92,52.36,44.19,-2542,200
DrMundo,Poppy,Akshan,MissFortune,Brand,Fiora,Nunu,Zed,Ashe,Lux,46.81,43.4,53.16,48.11,41.56,-5510,200
Teemo,Belveth,Yasuo,KogMaw,Leona,Sett,Diana,Irelia,Jinx,Sona,49.77,53.94,50,47.76,50.97,-17562,200
Kayle,Diana,Yasuo,Ezreal,Rell,Poppy,LeeSin,Syndra,Tristana,Ashe,49.64,52.62,50,44.44,54.77,11810,100
Yone,Hecarim,Akali,Ezreal,Sona,RekSai,Brand,Anivia,Twitch,Soraka,50,49.89,51.04,43.84,50.0,5378,100
Sett,Shaco,Malphite,Jhin,Nautilus,Warwick,Lillia,Malzahar,Ashe,Lux,47.9,49.56,42.55,49.71,51.22,-315,200
Fiora,Nocturne,Anivia,Varus,TahmKench,Quinn,Brand,Chogath,Lucian,Nami,43.0,50.88,50,47.37,50.0,-5903,200
Yorick,Diana,Vladimir,Jhin,Soraka,LeeSin,Zac,Talon,Sivir,Bard,50,57.54,46.34,49.71,52.14,-1812,100
Gwen,Poppy,Viktor,Jhin,Maokai,Briar,Sejuani,Ekko,Jinx,Braum,50,47.06,47.92,48.85,49.03,-7748,200
Yorick,Udyr,Sylas,Samira,Nautilus,Aatrox,Ekko,Ahri,Alistar,Jinx,51.94,43.08,51.64,50,50,-12420,200
TahmKench,Viego,Zed,Caitlyn,Neeko,Mordekaiser,Kayn,Taliyah,Draven,Leona,45.45,48.52,52.51,53.19,48.37,21,100
Trundle,Nidalee,TwistedFate,Kaisa,Leona,Kayle,MasterYi,Hwei,Smolder,Janna,47.25,53.49,51.23,55.15,50.25,-17074,200
Camille,Viego,Mordekaiser,Jhin,Thresh,Gragas,Warwick,Yasuo,Tristana,Renata,51.64,45.47,65.71,49.4,50,-7919,200
Illaoi,DrMundo,TwistedFate,Lucian,Nami,Teemo,Brand,Naafiri,Nilah,Ashe,41.82,50,56.04,51.77,51.36,-4841,200
Pantheon,Brand,Hwei,Jhin,Morgana,Kayle,Kayn,Diana,Vayne,Lulu,50.68,49.25,49.59,53.57,49.81,7834,100
Irelia,Rammus,Ahri,MissFortune,Seraphine,Yorick,Lillia,Swain,KogMaw,Senna,61.75,42.81,47.95,46.27,55.62,4676,100
Trundle,Khazix,Ahri,Twitch,Senna,Gangplank,Sejuani,Syndra,Nilah,Sona,47.46,49.84,49.26,47.04,50.0,-8778,200
Mordekaiser,Nocturne,Kled,Hwei,Swain,Warwick,Diana,Yone,Kaisa,Alistar,46.38,50.0,56.67,50,47.41,15165,100
Darius,Amumu,Sylas,Kalista,Milio,Nasus,Briar,Talon,MissFortune,Karma,53.25,50.48,52.59,47.45,50.26,-8154,200
Trundle,Hecarim,Syndra,Caitlyn,Camille,Gnar,Gwen,Katarina,Varus,Ashe,48.65,42.31,48.43,51.69,53.89,741,200
Vladimir,Viego,Talon,Velkoz,Thresh,Akali,Sejuani,Rumble,MissFortune,Lux,50,50.61,50,50,51.18,13192,100
Jax,Khazix,Gragas,Kaisa,Pyke,Rumble,Vi,Naafiri,Draven,Renata,47.83,53.8,50,49.29,50,-10699,200
Darius,Rengar,Orianna,Zeri,Zyra,Sett,Lillia,Pantheon,Pyke,Yuumi,46.86,52.07,47.83,50,50.68,10818,100
Tryndamere,Rengar,Hwei,Kaisa,Taric,Ryze,Kayn,Leblanc,MissFortune,Thresh,46.88,47.92,50,51.3,51.07,10862,100
Camille,Vi,Vladimir,Ashe,Kennen,Fiora,Warwick,Kassadin,Jhin,Ezreal,48.46,52.6,44.89,50.29,50,4922,100
Gragas,Warwick,Kassadin,Ashe,Nautilus,Garen,MasterYi,Caitlyn,Tristana,Sona,50.47,50.45,50,50.86,53.29,10536,100
Aatrox,Hecarim,Zilean,Lucian,Karma,Renekton,Trundle,Sylas,Vayne,Lulu,49.09,50,50,53.1,50.08,-56,200
Gangplank,Shaco,Varus,Ashe,Braum,Jayce,Evelynn,Ahri,Lucian,Nami,48.56,52.72,39.29,54.51,49.21,8880,100
Shen,Volibear,Kassadin,Jhin,Camille,Jax,FiddleSticks,Swain,Draven,Maokai,48.47,50,44.62,53.8,49.54,7629,100
Gangplank,Jax,Lux,KogMaw,Lulu,Brand,Shaco,Karma,Twitch,Bard,50,46.79,50,49.47,46.7,18375,100
Garen,Diana,Yasuo,Nilah,Nautilus,Urgot,RekSai,Chogath,Aphelios,TahmKench,46.36,48.36,50,51.31,48.64,6890,100
Poppy,FiddleSticks,Ziggs,Kaisa,Rell,Pantheon,LeeSin,Sylas,Nilah,Thresh,51.67,50,50,44.68,51.8,7381,100
Katarina,Kayn,Camille,KogMaw,Rell,Sett,Volibear,Malzahar,Vayne,Milio,50,45.3,50,53.1,54.23,12082,100
Illaoi,Rammus,Hwei,Vayne,Renata,Kayle,Warwick,Ahri,Kalista,Thresh,52.22,51.43,49.53,48.38,50.31,9173,100
KSante,XinZhao,Malzahar,Kaisa,Rakan,Gnar,RekSai,Zed,Jinx,Bard,45.36,50,49.14,46.28,47.06,7009,100
Vayne,Viego,Graves,Soraka,Xerath,Aatrox,Kayn,Ahri,Kaisa,Blitzcrank,52.65,48.52,53.85,50,45.19,2793,100
Urgot,Brand,Viego,Vayne,Morgana,Kayle,JarvanIV,Volibear,Varus,Nautilus,45.99,49.4,50,48.0,52.69,-1867,200
Garen,Nocturne,Anivia,Veigar,Ashe,Aatrox,Kayn,Diana,Yasuo,Nautilus,52.31,48.84,50.42,50,46.1,-5948,200
Sett,Kayn,Diana,Smolder,Seraphine,Camille,Khazix,Hwei,Caitlyn,Janna,49.02,50,50.76,42.73,48.78,8394,100
Aatrox,Diana,Karma,Samira,Pyke,Heimerdinger,Graves,Akali,Ashe,Alistar,45.87,49.92,57.14,46.02,49.59,-5214,200
Shen,MonkeyKing,Pantheon,Aphelios,Seraphine,Jayce,Darius,Orianna,Caitlyn,TwistedFate,50.73,50,52.17,45.97,50,9473,100
Yasuo,Gwen,Vladimir,Ashe,Pyke,Viktor,LeeSin,Garen,Aphelios,Nautilus,50,52.36,50,54.87,50.32,12325,100
Akali,Amumu,Yasuo,Jinx,Xerath,Tryndamere,Warwick,Sylas,MissFortune,Ezreal,55.56,50.0,50,52.57,50,621,100
Mordekaiser,Shaco,Galio,Smolder,Pyke,Nasus,Shen,AurelionSol,Jhin,Bard,51.96,50,57.94,43.45,54.98,7902,100
Briar,Nocturne,Lux,Kaisa,Bard,Kled,Amumu,Zed,Jinx,Sona,50,47.4,56.81,46.28,46.83,1423,100
Mordekaiser,Kayn,Tristana,Jinx,Soraka,Singed,Khazix,Swain,Kaisa,Zyra,47.0,50,45.31,50,52.48,3766,100
Darius,Nocturne,Malzahar,Kaisa,Pyke,Gnar,Graves,Azir,MissFortune,Rell,49.51,48.51,55.88,51.3,48.62,7958,100
Mordekaiser,Warwick,Tristana,Sivir,Zyra,Nasus,Viego,Sylas,Jhin,Yuumi,51.96,54.53,47.78,50.29,50.68,-3824,200
Teemo,Volibear,Irelia,Caitlyn,Velkoz,Sett,Chogath,Hwei,Jinx,Poppy,49.77,50,53.87,48.87,47.37,-6108,200
Warwick,Vi,Syndra,Jinx,Maokai,MonkeyKing,Lillia,MissFortune,Ezreal,Camille,41.94,47.88,50,54.57,49.55,-7828,200
Urgot,Graves,Velkoz,Ashe,Pantheon,Garen,Belveth,Vex,Smolder,Soraka,54.05,50,52.75,57.24,52.7,-5565,200
Yorick,Shyvana,Akshan,Seraphine,Lux,Pantheon,Maokai,Akali,MissFortune,Karma,53.95,50,55.51,58.51,48.05,-10806,200
Malphite,LeeSin,Brand,Jhin,Morgana,DrMundo,Viego,KogMaw,Aphelios,Zyra,42.27,48.98,50,54.44,43.75,6720,100
Vladimir,Khazix,Viktor,Yasuo,Alistar,Aatrox,Ekko,Veigar,Nilah,Pyke,49.29,50.56,52.99,50,50.41,-7092,200
Renekton,Lillia,Ahri,Smolder,Lux,Mordekaiser,FiddleSticks,Zed,Caitlyn,Blitzcrank,47.8,50,49.65,42.73,42.32,5775,100
Urgot,Jax,Naafiri,Twitch,Shaco,Fiora,Briar,Zed,MissFortune,Maokai,45.16,52.45,38.57,51.71,50.0,7427,100
Brand,Rammus,Akali,Ezreal,Senna,Maokai,XinZhao,Morgana,Caitlyn,Zyra,50,52.38,50,47.21,42.66,10012,100
DrMundo,MasterYi,Lux,Zeri,Karma,Gangplank,Skarner,Fizz,MissFortune,Janna,54.17,49.11,50.2,52.73,46.84,6151,100
Malphite,Kayn,Talon,Vayne,Alistar,Varus,Graves,Annie,Veigar,Xerath,51.0,50.82,50.0,50,51.04,3347,100
Darius,Volibear,Yone,MissFortune,Sona,Sett,Rengar,Lissandra,Vayne,Kled,46.86,51.61,52.35,53.1,50,7113,100
Fiora,XinZhao,Annie,MissFortune,Pyke,Sett,RekSai,Katarina,Twitch,Zyra,48.55,50,56.92,48.29,52.92,10875,100
Singed,Briar,Akali,Zeri,Nami,Ornn,Shaco,Ekko,Jinx,Thresh,63.37,47.41,48.26,46.04,49.89,14514,100
Urgot,Shyvana,Ahri,Ashe,Milio,Skarner,Kindred,Veigar,Jhin,Karma,46.77,46.39,50.79,50.29,50.26,-14313,200
Fiora,Belveth,Vladimir,Senna,Karma,Urgot,LeeSin,Katarina,Kaisa,Camille,54.64,51.66,52.0,50,45.45,7602,100
Singed,Nocturne,MissFortune,Aphelios,Janna,Darius,Warwick,Jhin,Xayah,Nami,47.1,42.11,50,47.06,50.39,16384,100
Camille,Udyr,Katarina,Caitlyn,Shaco,Jayce,Skarner,Cassiopeia,Jhin,Xerath,56.5,54.94,42.64,48.52,41.28,-10340,200
DrMundo,Warwick,Shen,Lucian,Xerath,Tryndamere,Skarner,Irelia,Aphelios,Karma,42.39,47.06,50,53.19,50.79,-6118,200
Darius,Graves,Sylas,Jhin,Brand,Garen,Kayn,Leblanc,Kaisa,Nautilus,53.43,49.18,50,50,47.43,10840,100
Yorick,Belveth,Malzahar,Aphelios,Nami,Smolder,Lillia,Yone,Ezreal,Senna,50,50.45,47.25,49.5,52.38,6107,100
Riven,Ivern,Azir,MissFortune,Lux,Malphite,Viego,Qiyana,Varus,Morgana,44.64,51.22,46.61,50.53,53.6,3548,100
Yorick,Kayn,Swain,Twitch,Maokai,Renekton,Nidalee,Cassiopeia,Vayne,Velkoz,50.0,43.68,53.85,50.17,50,-9252,200
Darius,FiddleSticks,Gangplank,Teemo,Pyke,Sett,Sejuani,Akali,Aphelios,Morgana,46.86,50,41.51,50,51.88,12224,100
Yorick,Trundle,Darius,Seraphine,Malphite,Jax,Nunu,Kassadin,Tristana,Karma,50.68,50,50,41.18,50,9214,100
Nasus,Amumu,Malphite,Ashe,Zyra,Teemo,Nocturne,Annie,MissFortune,Brand,48.59,52.6,47.83,51.89,49.13,-8752,200
DrMundo,Lillia,Malphite,Caitlyn,Lux,Darius,JarvanIV,Brand,Jhin,Hwei,52.47,49.47,49.59,48.52,52.22,7559,100
Trundle,Lillia,Yasuo,Caitlyn,Swain,Yone,Amumu,Neeko,Ezreal,Heimerdinger,54.37,54.68,50,52.76,50,11223,100
Tryndamere,Warwick,Akshan,Lucian,Braum,Garen,Gragas,Neeko,Ezreal,Rakan,55.79,47.52,45.54,52.36,48.78,-8515,200
Sett,Briar,Galio,Lucian,Nami,Garen,Belveth,Xerath,Caitlyn,Leona,50.21,50,48.28,47.78,46.81,7721,100
Vayne,Darius,Swain,Lucian,Rell,Mordekaiser,Warwick,Zed,Ezreal,Shaco,56.42,50,44.71,52.36,57.49,3763,100
Riven,Rengar,Orianna,Vayne,Braum,Camille,Teemo,Graves,Caitlyn,Karma,48.38,50,50,46.03,51.84,10087,100
Rumble,Warwick,Yone,Jhin,MissFortune,Corki,MasterYi,Sylas,Caitlyn,Soraka,50,50.45,46.02,51.45,50,14893,100
Trundle,Graves,Lucian,Sivir,Seraphine,Irelia,Viego,Malzahar,Varus,Karma,50.97,47.99,35.42,53.58,52.39,6798,100
Kayle,Warwick,Akali,Smolder,Janna,JarvanIV,Shaco,Diana,Ezreal,FiddleSticks,50,45.2,48.81,47.15,50,12483,100
Teemo,Sejuani,Zed,Samira,Shen,Singed,XinZhao,Syndra,Jhin,Senna,60.0,49.82,49.75,49.47,51.52,-797,200
Illaoi,Rengar,Trundle,Smolder,Janna,Kayle,JarvanIV,Zed,Ezreal,Leona,52.22,49.64,50,47.15,49.62,8947,100
Quinn,Warwick,Jhin,Nilah,Seraphine,Tryndamere,Viego,Veigar,Caitlyn,Nautilus,44.58,54.53,50,50.0,52.67,-5566,200
Aatrox,Briar,Xerath,Jhin,Seraphine,Yorick,Darius,Cassiopeia,Ashe,Zyra,47.35,50,50.0,49.71,52.07,7414,100
Gwen,Nocturne,Zed,Graves,AurelionSol,Sion,Amumu,Sylas,KogMaw,Milio,61.33,47.4,45.82,50,50,-12661,200
Yorick,Sylas,Lux,MissFortune,Morgana,Garen,MonkeyKing,Ezreal,Draven,Brand,44.0,44.93,50,54.09,41.57,6654,100
Volibear,Lillia,Ahri,Samira,Soraka,Vayne,Nunu,Annie,Akali,Bard,44.65,49.22,49.89,50,52.14,-6913,200
RekSai,Viego,Lux,Caitlyn,Thresh,Akali,JarvanIV,Katarina,Draven,Morgana,50,49.72,49.3,53.19,50.97,9241,100
Darius,Belveth,Orianna,Vayne,Lulu,DrMundo,Khazix,Viktor,Samira,Leona,47.5,50,49.01,47.0,47.55,-9529,200
Aatrox,LeeSin,Vladimir,Lucian,MissFortune,Camille,MasterYi,Ahri,Aphelios,Soraka,45.79,54.34,54.04,53.19,50,-9533,200
Ornn,Skarner,Brand,Zeri,Milio,Fiora,LeeSin,TwistedFate,Lucian,Bard,43.48,54.69,50.0,46.42,51.23,8104,100
Gwen,Lillia,Yone,Aphelios,Renata,Yorick,Kindred,XinZhao,Jinx,Thresh,55.74,48.8,50,45.0,50.31,6413,100
Urgot,MasterYi,Mordekaiser,Aphelios,Blitzcrank,Garen,Diana,Yone,Smolder,Alistar,54.05,50.36,50,53.71,48.51,-7397,200
TahmKench,Nidalee,Anivia,Draven,Thresh,Sett,Mordekaiser,Malzahar,Corki,Bard,52.73,50,53.05,48.25,52.98,-5854,200
Malphite,Udyr,Annie,Xayah,Seraphine,TwistedFate,Jax,Morgana,Jinx,Lux,48.6,52.54,50,46.89,50.11,6210,100
Nasus,LeeSin,Ahri,Akshan,Lux,Gnar,Poppy,Akali,Caitlyn,Veigar,52.83,48.4,49.28,64.29,50,13756,100
Rengar,Zac,Katarina,MissFortune,Blitzcrank,Mordekaiser,Graves,TwistedFate,Ezreal,Senna,51.11,48.78,48.59,51.88,56.38,6906,100
Teemo,Nocturne,Malzahar,MissFortune,Leona,Riven,MasterYi,Kassadin,Senna,Nautilus,50.94,54.4,50.47,50,53.71,15883,100
Illaoi,Karthus,Ahri,Caitlyn,Lux,Jax,Amumu,Smolder,Jinx,Seraphine,55.73,54.11,50,48.87,49.89,10242,100
Kayle,LeeSin,Tristana,Seraphine,Thresh,Pantheon,Zac,Katarina,Kalista,Pyke,48.98,46.54,53.54,51.61,49.48,-11088,200
AurelionSol,Twitch,Vex,Jhin,Milio,Yone,Briar,TwistedFate,Ashe,Blitzcrank,46.67,50,55.23,49.71,45.86,-13218,200
Zac,Amumu,Diana,Twitch,Hwei,Mordekaiser,Jax,Malphite,Varus,Pantheon,47.64,50.0,53.45,52.49,40.82,-3924,200
Sion,Evelynn,Akali,Kaisa,Brand,Fiora,JarvanIV,Neeko,Ezreal,Karma,53.22,50.41,55.74,53.43,45.89,-9317,200
Ornn,Kayn,Brand,Sivir,Zilean,Renekton,Viego,Veigar,Vayne,Xerath,55.49,51.48,51.76,52.11,50,-15489,200
TwistedFate,Bard,Yone,Smolder,Brand,JarvanIV,Rammus,Aatrox,Vayne,Pyke,50,50,50,47.19,45.25,9606,100
Aatrox,Taliyah,Yasuo,Draven,Hwei,Garen,Lillia,Xerath,Ashe,Velkoz,47.6,53.38,50,46.13,50,-10754,200
Fiora,Hecarim,Vladimir,Vayne,Swain,Udyr,Ivern,Hwei,Ezreal,Lulu,48.89,52.97,50.36,54.65,42.98,-8742,200
Heimerdinger,Graves,Yone,Aphelios,Thresh,DrMundo,Poppy,Swain,Jinx,Janna,67.74,48.29,49.32,45.0,51.71,12759,100
Jax,Poppy,Anivia,Vayne,Zyra,Teemo,JarvanIV,Sylas,Samira,Camille,47.83,51.93,52.31,47.0,52.59,580,100
Darius,Lillia,Rumble,Jhin,Nautilus,Renekton,Skarner,Akshan,Swain,Lux,47.61,52.43,42.37,50,51.22,-6360,200
Aatrox,Briar,Akali,Draven,Soraka,Sion,MasterYi,Lux,Sivir,Brand,57.69,50.33,48.8,46.49,55.94,16986,100
Malphite,Kayn,Viktor,Jinx,Ashe,Camille,Rengar,Lissandra,Twitch,Lulu,51.13,52.08,51.14,50.19,51.93,-8821,200
Nasus,Shaco,Viktor,Xayah,Swain,Rumble,Shyvana,Seraphine,Vayne,Thresh,49.38,54.84,50,47.67,50.67,9500,100
Kayn,Shaco,Jayce,Ezreal,Bard,Jax,Belveth,Vladimir,Jhin,Thresh,50,50,48.05,43.79,46.84,13560,100
Gragas,Belveth,Smolder,Samira,Lux,DrMundo,Trundle,Ahri,MissFortune,Zyra,51.87,50,44.44,50.34,52.88,3808,100
Aatrox,Briar,Velkoz,Twitch,Senna,Sett,Brand,Talon,MissFortune,Thresh,47.84,49.04,50.0,51.71,47.99,-7753,200
Garen,Briar,Leblanc,Caitlyn,Soraka,Tryndamere,Rumble,Tristana,Cassiopeia,Nami,44.07,50.0,48.25,50,48.97,-14925,200
Singed,Hecarim,Karma,Ashe,Maokai,Mordekaiser,MasterYi,Anivia,Samira,Taric,53.0,54.22,50,53.98,45.21,10597,100
KSante,MasterYi,Katarina,Lucian,Maokai,Akali,Lillia,Zed,Vayne,Shaco,49.2,44.51,43.32,53.1,50.0,11833,100
Trundle,Kayn,Taliyah,Varus,Neeko,Aatrox,Viego,Vladimir,Caitlyn,Blitzcrank,50.48,51.48,52.38,48.43,53.7,-15466,200
Pantheon,Shen,Galio,Draven,Lux,Tryndamere,Viego,Diana,Caitlyn,Brand,56.45,48.19,57.36,46.81,58.11,-11257,200
Aatrox,Lillia,Qiyana,Karthus,Soraka,Renekton,Amumu,Kayle,Draven,Rell,49.09,54.68,45.45,58.62,49.34,-15272,200
Aatrox,Rengar,Gragas,Smolder,Lux,Yone,Evelynn,Katarina,Kaisa,Maokai,51.3,47.85,47.32,50,45.86,-7374,200
Teemo,Malphite,Lucian,Tristana,Nami,Garen,Vi,Ahri,Vayne,Rakan,50.29,50,45.96,52.85,51.46,-12317,200
DrMundo,Brand,AurelionSol,Ashe,Thresh,Nasus,Viego,Sion,Caitlyn,Nami,51.65,50.0,50,51.28,50.11,-12772,200
Mordekaiser,Lillia,Naafiri,Caitlyn,Xerath,Darius,Kindred,Talon,Sivir,Bard,49.78,48.8,41.94,50.78,47.65,15540,100
Volibear,Shaco,Kassadin,Vayne,Soraka,Irelia,Poppy,Orianna,Kaisa,Teemo,55.88,53.9,48.79,50,50,10546,100
Volibear,Skarner,Anivia,KogMaw,Soraka,Tristana,Hecarim,AurelionSol,Jinx,Thresh,50,49.79,49.01,47.76,51.81,-139,200
Olaf,Viego,Zoe,Kalista,Malphite,RekSai,Nocturne,Karthus,Samira,Zilean,50,49.83,50,46.67,50,6803,100
Kayle,Diana,Irelia,Kaisa,Nautilus,Shen,LeeSin,Orianna,Vayne,Senna,48.64,52.62,53.78,50.48,52.07,7606,100
Skarner,XinZhao,Gragas,Samira,Nautilus,Garen,Karthus,Irelia,Ashe,Maokai,50.74,50,57.35,46.02,52.39,12089,100
Darius,Khazix,Hwei,Smolder,Milio,Yone,Vi,Zoe,Ezreal,Zyra,55.58,53.8,44.63,47.15,52.02,2699,100
Warwick,RekSai,Vex,Ashe,Milio,Volibear,Briar,Katarina,KogMaw,Senna,47.73,56.52,53.7,54.22,51.47,-2849,200
Illaoi,Diana,Galio,Twitch,Brand,Mordekaiser,Briar,Sylas,Ezreal,Seraphine,49.04,48.2,56.81,56.16,47.25,7634,100
Malphite,Volibear,Veigar,Jinx,Pyke,Camille,Jax,Hwei,Ashe,Seraphine,51.13,47.89,49.92,50.01,55.43,-14348,200
RekSai,Poppy,Taliyah,Vayne,Senna,Jax,Viego,Vex,Samira,Nautilus,50,48.41,42.26,47.0,47.93,11609,100
Teemo,MonkeyKing,LeeSin,Ashe,Pyke,Nasus,Vi,TwistedFate,Ezreal,Shaco,51.41,47.59,50,57.91,52.82,-13692,200
Tryndamere,Amumu,Olaf,Smolder,Lux,Garen,Nunu,Sylas,Ashe,Anivia,55.79,51.49,50,42.76,50,-9205,200
Olaf,FiddleSticks,Ahri,Lucian,Senna,Illaoi,Amumu,Vladimir,Jhin,Rell,43.59,50,45.81,49.05,47.17,14008,100
Aatrox,Udyr,Yasuo,Draven,Rell,Yone,Kindred,Vladimir,Jinx,Milio,51.3,47.6,50,45.07,54.23,11095,100
Fiora,Yorick,Ekko,KogMaw,Maokai,Aatrox,JarvanIV,Xerath,Jinx,Janna,53.15,50,40.34,47.76,50.21,12180,100
Illaoi,Kayn,Anivia,Caitlyn,Lux,Volibear,RekSai,Zoe,Twitch,Nautilus,55.17,46.99,44.23,50.76,48.78,-12993,200
Riven,Rammus,Hwei,Jhin,Lux,Kled,Elise,Syndra,Caitlyn,Soraka,44.79,45.83,50.0,51.45,46.76,-9941,200
Garen,Amumu,Ahri,Lucian,Brand,Aatrox,Kindred,Malphite,Caitlyn,Lux,52.31,54.0,57.59,47.78,41.56,-11510,200
Riven,Hecarim,Veigar,Smolder,Skarner,Gnar,Amumu,Lux,Morgana,Warwick,51.2,45.7,45.81,50,50,10180,100
Quinn,Skarner,Yone,Seraphine,Senna,Malphite,Nunu,TwistedFate,Shaco,Lulu,50.0,52.05,39.74,50,50.59,7299,100
Akali,Briar,Hwei,Smolder,Thresh,Heimerdinger,XinZhao,Veigar,Jinx,Ornn,56.25,47.44,50.08,40.07,50,-1592,200
TwistedFate,Vi,Xerath,AurelionSol,TahmKench,Malzahar,Jax,Zoe,Jhin,Swain,50,43.48,50.0,45.26,50,9611,100
Ornn,Vi,AurelionSol,Lucian,Nami,Gwen,Briar,Yasuo,Jinx,Sona,44.21,52.15,54.0,47.44,48.45,8424,100
Sett,Sion,Lux,Jhin,Janna,Volibear,Kayn,Vladimir,Caitlyn,Alistar,50.0,50,56.12,51.45,54.22,-6861,200
Malphite,Khazix,Ekko,Aphelios,Janna,Renekton,RekSai,Akali,Ashe,Sona,48.87,47.39,51.74,45.15,47.95,2263,100
Volibear,Karthus,Sylas,Aphelios,Renata,Camille,Lillia,Yasuo,Varus,Garen,50.46,50.34,51.49,47.81,50,11163,100
Garen,Udyr,Naafiri,Nilah,Brand,Nasus,Volibear,AurelionSol,Jhin,Leona,48.55,62.37,54.55,48.5,45.45,2638,100
Mordekaiser,Nocturne,Smolder,Seraphine,Yuumi,Renekton,Viego,Vex,Kaisa,Blitzcrank,52.13,50.17,50,50,44.8,8639,100
Hwei,Belveth,Diana,Ashe,Janna,TahmKench,Viego,Brand,Sivir,Teemo,50,51.11,45.06,51.32,50,-14018,200
Trundle,XinZhao,Nilah,AurelionSol,Bard,Illaoi,Belveth,Diana,Varus,Morgana,49.35,50,50,50,55.2,11246,100
MonkeyKing,Ekko,Diana,Ashe,Leona,Garen,Viego,Twitch,Ezreal,Shaco,52.59,53.46,50,57.91,44.28,-8507,200
Gragas,Yasuo,Kayn,Zeri,Velkoz,Garen,Maokai,Irelia,Samira,Thresh,50.47,50,50,47.2,52.87,12903,100
Sett,Talon,TwistedFate,Ezreal,Braum,Fiora,Singed,Malzahar,Nilah,Senna,51.29,50,55.77,47.55,46.85,-11163,200
Nasus,Evelynn,Malzahar,Twitch,Lulu,Vayne,Gragas,Syndra,Yasuo,Braum,50.79,60.56,48.08,54.95,46.7,-13054,200
Garen,Brand,Kindred,Kaisa,Seraphine,JarvanIV,Karthus,Yasuo,Lucian,Thresh,50,48.73,50,48.11,52.16,10053,100
Jax,Kayn,Orianna,Vayne,Seraphine,DrMundo,Pantheon,Akshan,Jhin,Leona,47.58,50,44.29,46.43,50.3,13861,100
Volibear,Morgana,Yone,Xayah,Neeko,Nasus,Viego,Vladimir,Jinx,Leona,56.08,46.79,49.77,46.89,48.37,-6466,200
Sett,Graves,TwistedFate,Jinx,Lulu,DrMundo,Vi,Malphite,Caitlyn,Thresh,56.73,48.69,52.73,51.09,47.45,20260,100
